,year,life_ladder,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,positive_affect,negative_affect,iso3_code
4,2012,5.510124206542969,0.7845017910003662,68.16000366210938,0.6015121340751648,-0.17298804223537445,0.553473174571991,0.2713932394981384,ALB
5,2013,4.550647735595703,0.7594767212867737,68.44000244140625,0.6318302750587463,-0.13133929669857025,0.5407509803771973,0.33837857842445374,ALB
6,2014,4.81376314163208,0.6255869269371033,68.72000122070312,0.7346484065055847,-0.02880115993320942,0.5729450583457947,0.3345426619052887,ALB
7,2015,4.6066508293151855,0.6393561363220215,69.0,0.7038506865501404,-0.08498185873031616,0.5790717005729675,0.35042667388916016,ALB
8,2016,4.511100769042969,0.6384114623069763,69.0250015258789,0.7298189401626587,-0.021135902032256126,0.5670797228813171,0.32170599699020386,ALB
9,2017,4.639548301696777,0.6376982927322388,69.05000305175781,0.7496110200881958,-0.032957177609205246,0.5472404360771179,0.3338841199874878,ALB
10,2018,5.0044026374816895,0.6835916638374329,69.07499694824219,0.8242123126983643,0.0047685811296105385,0.5920446515083313,0.31899672746658325,ALB
11,2019,4.9953179359436035,0.6863648891448975,69.0999984741211,0.777351438999176,-0.10332503914833069,0.5481892824172974,0.27382737398147583,ALB
12,2020,5.364909648895264,0.7101150155067444,69.125,0.7536710500717163,0.0015586202498525381,0.5634861588478088,0.26506611704826355,ALB
13,2021,5.255481719970703,0.7018827795982361,69.1500015258789,0.8274527192115784,0.038602884858846664,0.553830087184906,0.25365447998046875,ALB
14,2022,5.212213039398193,0.7240896224975586,69.17500305175781,0.8022497892379761,-0.06995203346014023,0.5471259355545044,0.25482553243637085,ALB
15,2023,5.444690704345703,0.6907526254653931,69.19999694824219,0.8715454936027527,0.06788530200719833,0.5973492860794067,0.3142271339893341,ALB
20,2012,7.400688648223877,0.945142388343811,70.0999984741211,0.9197039008140564,0.11211855709552765,0.712149977684021,0.15667499601840973,AUT
21,2013,7.498802661895752,0.949809193611145,70.19999694824219,0.9217344522476196,0.16256439685821533,0.7250531911849976,0.16260331869125366,AUT
22,2014,6.949999809265137,0.898920476436615,70.30000305175781,0.8850268721580505,0.1119244396686554,0.7209653258323669,0.1701495498418808,AUT
23,2015,7.076447010040283,0.9281103014945984,70.4000015258789,0.9003051519393921,0.09321006387472153,0.747707724571228,0.16446903347969055,AUT
24,2016,7.04807186126709,0.9263185858726501,70.5250015258789,0.88851398229599,0.0741286501288414,0.7134508490562439,0.19742384552955627,AUT
25,2017,7.293727874755859,0.9062178134918213,70.6500015258789,0.890030562877655,0.1275908648967743,0.6988893747329712,0.18026871979236603,AUT
26,2018,7.396001815795898,0.9116681218147278,70.7750015258789,0.9041119813919067,0.047986846417188644,0.6946277022361755,0.22605879604816437,AUT
27,2019,7.195361137390137,0.9644888043403625,70.9000015258789,0.9034276604652405,0.0542902834713459,0.7273411154747009,0.20516973733901978,AUT
28,2020,7.213489055633545,0.924831211566925,71.0250015258789,0.9119098782539368,0.004416045732796192,0.7163522839546204,0.20649965107440948,AUT
29,2021,7.079640865325928,0.8629759550094604,71.1500015258789,0.7948459386825562,0.15775805711746216,0.7218652367591858,0.259080171585083,AUT
30,2022,6.998997211456299,0.8762874007225037,71.2750015258789,0.8555026054382324,0.1374349147081375,0.7176164388656616,0.22639481723308563,AUT
31,2023,6.635663986206055,0.874427318572998,71.4000015258789,0.874083399772644,0.20926827192306519,0.7124965786933899,0.23960807919502258,AUT
38,2012,5.7490434646606445,0.9019615054130554,63.41999816894531,0.6452488303184509,-0.223155677318573,0.515112578868866,0.18076452612876892,BLR
39,2013,5.876466274261475,0.9225059747695923,63.97999954223633,0.7234312891960144,-0.18338242173194885,0.5454326272010803,0.2062196582555771,BLR
40,2014,5.812400817871094,0.8802588582038879,64.54000091552734,0.6471845507621765,-0.054183706641197205,0.5750670433044434,0.2085355669260025,BLR
41,2015,5.718907833099365,0.9240726232528687,65.0999984741211,0.6227534413337708,-0.09730128198862076,0.5457346439361572,0.1843099594116211,BLR
42,2016,5.177899360656738,0.926551103591919,65.32499694824219,0.6582288146018982,-0.13147030770778656,0.5026974081993103,0.1821061223745346,BLR
43,2017,5.552915096282959,0.9002557992935181,65.55000305175781,0.6209792494773865,-0.12759390473365784,0.5017356872558594,0.23276807367801666,BLR
44,2018,5.23376989364624,0.9045692682266235,65.7750015258789,0.6436023712158203,-0.1805819272994995,0.40888357162475586,0.23572862148284912,BLR
45,2019,5.821453094482422,0.9167404770851135,66.0,0.656933605670929,-0.19221141934394836,0.5589894652366638,0.18982140719890594,BLR
51,2012,6.935122013092041,0.9271170496940613,69.5199966430664,0.8552666306495667,-0.05606037378311157,0.7181869745254517,0.23827680945396423,BEL
52,2013,7.103661060333252,0.9091861844062805,69.68000030517578,0.8907110691070557,0.010700806975364685,0.738157331943512,0.21713894605636597,BEL
53,2014,6.8553290367126465,0.9435491561889648,69.83999633789062,0.8609535098075867,-0.00464719720184803,0.7436781525611877,0.25155705213546753,BEL
54,2015,6.904219150543213,0.8852088451385498,70.0,0.8694749474525452,0.05621204525232315,0.7471033334732056,0.23995870351791382,BEL
55,2016,6.948936462402344,0.9289640784263611,70.1500015258789,0.865759015083313,-0.06168225035071373,0.7010933756828308,0.25965338945388794,BEL
56,2017,6.928347587585449,0.921639084815979,70.30000305175781,0.8568019866943359,0.04865328595042229,0.713402271270752,0.23359769582748413,BEL
57,2018,6.892171859741211,0.9298155307769775,70.44999694824219,0.8083866238594055,-0.13047930598258972,0.6817125678062439,0.25029733777046204,BEL
58,2019,6.7721381187438965,0.8842304944992065,70.5999984741211,0.7762036323547363,-0.17797590792179108,0.6990424990653992,0.24363084137439728,BEL
59,2020,6.838760852813721,0.9035586714744568,70.75,0.7669178247451782,-0.1718907505273819,0.619125485420227,0.2601887881755829,BEL
60,2021,6.88175630569458,0.9148567914962769,70.9000015258789,0.8225030899047852,0.07735525071620941,0.6865835189819336,0.26003092527389526,BEL
61,2022,6.856874465942383,0.9227327108383179,71.05000305175781,0.8898890018463135,0.09505116939544678,0.7184796929359436,0.23477324843406677,BEL
62,2023,6.943598747253418,0.8959550261497498,71.19999694824219,0.8702002167701721,0.06494025141000748,0.7252440452575684,0.24549579620361328,BEL
67,2012,4.773144721984863,0.7788598537445068,67.0,0.41978931427001953,-0.01588583178818226,0.4686013460159302,0.33824068307876587,BIH
68,2013,5.123664379119873,0.7668277621269226,67.0,0.390341579914093,0.038655977696180344,0.48930057883262634,0.3145160377025604,BIH
69,2014,5.2489542961120605,0.7876517176628113,67.0,0.4119373857975006,0.2289367914199829,0.49083468317985535,0.26217520236968994,BIH
70,2015,5.117177963256836,0.6557236313819885,67.0,0.630698025226593,-0.058186616748571396,0.485843688249588,0.28623414039611816,BIH
71,2016,5.180865287780762,0.8077051043510437,67.05000305175781,0.6334537267684937,0.13019025325775146,0.5659803748130798,0.3040802776813507,BIH
72,2017,5.089902400970459,0.7752952575683594,67.0999984741211,0.5637986660003662,0.08720297366380692,0.5266396403312683,0.27074551582336426,BIH
73,2018,5.887401103973389,0.8358895778656006,67.1500015258789,0.6588464379310608,0.11834884434938431,0.5676940679550171,0.2773650586605072,BIH
74,2019,6.015522480010986,0.8731419444084167,67.19999694824219,0.7215632200241089,0.07388520985841751,0.5446664094924927,0.23806855082511902,BIH
75,2020,5.5158162117004395,0.8985186815261841,67.25,0.740250825881958,0.1319495290517807,0.6018709540367126,0.3254123032093048,BIH
76,2021,5.748823165893555,0.8599535822868347,67.30000305175781,0.7589792013168335,0.2737639248371124,0.6040925979614258,0.3053521513938904,BIH
77,2022,5.8720550537109375,0.8559615015983582,67.3499984741211,0.7426527738571167,0.19059525430202484,0.5425434708595276,0.2853967845439911,BIH
78,2023,6.008581161499023,0.8787869215011597,67.4000015258789,0.8472372889518738,0.2408037930727005,0.5785500407218933,0.24872227013111115,BIH
82,2012,4.222297191619873,0.8379666209220886,65.4800033569336,0.6412564516067505,-0.1807703971862793,0.5095552802085876,0.2366328239440918,BGR
83,2013,3.993020534515381,0.8291323184967041,65.62000274658203,0.603213369846344,-0.19914494454860687,0.5367209315299988,0.278313010931015,BGR
84,2014,4.438439846038818,0.8859491944313049,65.76000213623047,0.5755959153175354,-0.06236521154642105,0.5422828793525696,0.23559372127056122,BGR
85,2015,4.865401268005371,0.9075170159339905,65.9000015258789,0.6368178129196167,-0.2070072442293167,0.5559516549110413,0.21422383189201355,BGR
86,2016,4.837560653686523,0.9260360598564148,66.0,0.7002655267715454,-0.1768510788679123,0.5445662140846252,0.17169985175132751,BGR
87,2017,5.096901893615723,0.9417545795440674,66.0999984741211,0.6890470385551453,-0.16029389202594757,0.5419514775276184,0.18863734602928162,BGR
88,2018,5.098813533782959,0.9238532781600952,66.19999694824219,0.7243359088897705,-0.18206416070461273,0.5539103150367737,0.18909098207950592,BGR
89,2019,5.108438014984131,0.9482043981552124,66.30000305175781,0.8219298720359802,-0.11494727432727814,0.5765827894210815,0.19988831877708435,BGR
90,2020,5.597723007202148,0.9162423610687256,66.4000015258789,0.8182247877120972,-0.0122536551207304,0.6423875093460083,0.22135105729103088,BGR
91,2021,5.421693325042725,0.8836210370063782,66.5,0.8411880731582642,-0.0179043710231781,0.6467598676681519,0.25277671217918396,BGR
92,2022,5.3783488273620605,0.9527610540390015,66.5999984741211,0.7413594126701355,-0.1515699028968811,0.5819082260131836,0.1653018742799759,BGR
93,2023,5.589599132537842,0.9349161982536316,66.69999694824219,0.7543242573738098,-0.1312975287437439,0.539438784122467,0.19188416004180908,BGR
98,2012,6.027634620666504,0.77581787109375,67.54000091552734,0.5419097542762756,-0.24959376454353333,0.5716532468795776,0.27104052901268005,HRV
99,2013,5.885462760925293,0.7512620687484741,67.66000366210938,0.626699686050415,-0.211284339427948,0.5540811419487,0.2847299575805664,HRV
100,2014,5.380692481994629,0.6456977725028992,67.77999877929688,0.5188780426979065,0.12492571026086807,0.544727087020874,0.28589510917663574,HRV
101,2015,5.205438137054443,0.7683634161949158,67.9000015258789,0.6935230493545532,-0.10370200127363205,0.570057213306427,0.29401934146881104,HRV
102,2016,5.41687536239624,0.798332154750824,68.07499694824219,0.671970546245575,-0.07190065085887909,0.5689613819122314,0.3365412652492523,HRV
103,2017,5.343165874481201,0.7703096866607666,68.25,0.7158222794532776,-0.11183539777994156,0.6182564496994019,0.31648823618888855,HRV
104,2018,5.536271095275879,0.9098068475723267,68.42500305175781,0.6908556222915649,-0.15832628309726715,0.5123899579048157,0.2903759777545929,HRV
105,2019,5.625743865966797,0.93598872423172,68.5999984741211,0.7393006086349487,-0.14535610377788544,0.5038063526153564,0.26915451884269714,HRV
106,2020,6.507992267608643,0.9229134917259216,68.7750015258789,0.8366576433181763,-0.07138796895742416,0.6814067959785461,0.28560975193977356,HRV
107,2021,6.286790370941162,0.9177415370941162,68.94999694824219,0.8418378829956055,0.0009323216509073973,0.6401486992835999,0.27419716119766235,HRV
108,2022,5.578691482543945,0.9099843502044678,69.125,0.593485951423645,-0.21291378140449524,0.5731527209281921,0.2668541371822357,HRV
109,2023,5.958378791809082,0.9085949659347534,69.30000305175781,0.5732210874557495,-0.20536990463733673,0.6098355054855347,0.2303737998008728,HRV
114,2012,6.180507183074951,0.7671771049499512,71.12000274658203,0.7246295809745789,0.09176801145076752,0.6870852708816528,0.3686329126358032,CYP
115,2013,5.438952445983887,0.744032084941864,71.27999877929688,0.6562679409980774,0.09568224847316742,0.6568310856819153,0.42025870084762573,CYP
116,2014,5.627123832702637,0.7701759934425354,71.44000244140625,0.7150656580924988,0.0535113662481308,0.661480188369751,0.3971729874610901,CYP
117,2015,5.43916130065918,0.7695561051368713,71.5999984741211,0.6280348300933838,0.10745827853679657,0.6599417328834534,0.38310641050338745,CYP
118,2016,5.794618606567383,0.7864384651184082,71.80000305175781,0.7562209963798523,-0.03647814691066742,0.6310487985610962,0.3363446891307831,CYP
119,2017,6.062051296234131,0.8186710476875305,72.0,0.8116706609725952,0.036032535135746,0.6697354316711426,0.30051660537719727,CYP
120,2018,6.276443004608154,0.825573205947876,72.19999694824219,0.7942150235176086,-0.03055599331855774,0.6629883050918579,0.298021137714386,CYP
121,2019,6.1368327140808105,0.7760780453681946,72.4000015258789,0.7400580048561096,-0.017519664019346237,0.6634199619293213,0.29022520780563354,CYP
122,2020,6.259810447692871,0.8055593967437744,72.5999984741211,0.7627823352813721,-0.08616578578948975,0.6708356738090515,0.28352245688438416,CYP
123,2021,6.26920223236084,0.8553572297096252,72.80000305175781,0.7176392674446106,-0.03822578862309456,0.641120970249176,0.2746836245059967,CYP
124,2022,5.8647565841674805,0.8195474743843079,73.0,0.6984071135520935,0.00751569215208292,0.6593262553215027,0.29699867963790894,CYP
125,2023,6.070594310760498,0.80283123254776,73.19999694824219,0.729809582233429,,0.6815126538276672,0.29686352610588074,CYP
132,2012,7.519909381866455,0.9514371752738953,69.83999633789062,0.9326279163360596,0.13286656141281128,0.7827155590057373,0.2085695117712021,DNK
133,2013,7.588606834411621,0.9647079706192017,70.05999755859375,0.920254647731781,0.20889675617218018,0.8256011605262756,0.1946737915277481,DNK
134,2014,7.507559299468994,0.9563443064689636,70.27999877929688,0.9415722489356995,0.11213824152946472,0.7798677682876587,0.23261277377605438,DNK
135,2015,7.514424800872803,0.9597012996673584,70.5,0.9414364099502563,0.21617953479290009,0.8014328479766846,0.21757757663726807,DNK
136,2016,7.5577826499938965,0.9544515013694763,70.625,0.9482305645942688,0.1318957358598709,0.7860076427459717,0.20758342742919922,DNK
137,2017,7.59370231628418,0.9521000981330872,70.75,0.9554163217544556,0.14896969497203827,0.778525173664093,0.20577530562877655,DNK
138,2018,7.648785591125488,0.9582188725471497,70.875,0.935437798500061,0.011810150928795338,0.7730328440666199,0.20605280995368958,DNK
139,2019,7.693003177642822,0.9577063918113708,71.0,0.963318407535553,0.014690911397337914,0.7968595027923584,0.18107062578201294,DNK
140,2020,7.514631271362305,0.9473713636398315,71.125,0.9379318356513977,0.04517029598355293,0.7525736689567566,0.2271018922328949,DNK
141,2021,7.698747158050537,0.9449267387390137,71.25,0.9334392547607422,0.12983427941799164,0.7918907999992371,0.20642220973968506,DNK
142,2022,7.544964790344238,0.9703063368797302,71.375,0.9295474886894226,0.22227469086647034,0.7868204116821289,0.20544104278087616,DNK
143,2023,7.50419282913208,0.9156695604324341,71.5,0.9227390885353088,0.08943353593349457,0.7570056915283203,0.22948944568634033,DNK
149,2012,5.363927841186523,0.8894545435905457,67.45999908447266,0.6968257427215576,-0.19720862805843353,0.6270431280136108,0.19896674156188965,EST
150,2013,5.367445945739746,0.9007217884063721,67.73999786376953,0.7535586953163147,-0.20627324283123016,0.6505120992660522,0.19901816546916962,EST
151,2014,5.55598258972168,0.9171017408370972,68.0199966430664,0.773327112197876,-0.15847612917423248,0.6196213960647583,0.2034391164779663,EST
152,2015,5.628908634185791,0.9179296493530273,68.30000305175781,0.8146923780441284,-0.16920073330402374,0.6487849354743958,0.18269477784633636,EST
153,2016,5.649675369262695,0.9377151131629944,68.5250015258789,0.8427706956863403,-0.15494193136692047,0.6568225622177124,0.1768692582845688,EST
154,2017,5.938395977020264,0.9356863498687744,68.75,0.8617492318153381,-0.10656443983316422,0.7400963306427002,0.16016410291194916,EST
155,2018,6.091302394866943,0.9326937794685364,68.9749984741211,0.8856183886528015,-0.14661718904972076,0.7302648425102234,0.1631821095943451,EST
156,2019,6.034641265869141,0.9340643286705017,69.19999694824219,0.8865043520927429,-0.10059057921171188,0.7384289503097534,0.15627901256084442,EST
157,2020,6.452563762664795,0.9577704668045044,69.42500305175781,0.9542005658149719,-0.09033530950546265,0.7616904377937317,0.1876794993877411,EST
158,2021,6.553915500640869,0.9458650350570679,69.6500015258789,0.9258183240890503,0.04551992192864418,0.760608434677124,0.17625804245471954,EST
159,2022,6.357114315032959,0.9333325028419495,69.875,0.9039506912231445,0.13607195019721985,0.7669572830200195,0.18681056797504425,EST
160,2023,6.429872989654541,0.9581712484359741,70.0999984741211,0.9145733118057251,0.03150103986263275,0.7648999094963074,0.18229584395885468,EST
165,2012,7.4202094078063965,0.9277393817901611,70.04000091552734,0.9209681153297424,-0.0070867338217794895,0.74223393201828,0.20165443420410156,FIN
166,2013,7.44463586807251,0.9408690929412842,70.26000213623047,0.9186253547668457,0.03354348614811897,0.7516428828239441,0.19467255473136902,FIN
167,2014,7.384571075439453,0.9520165324211121,70.4800033569336,0.9330439567565918,-0.0068079205229878426,0.7664982080459595,0.19881388545036316,FIN
168,2015,7.447925567626953,0.9478005766868591,70.69999694824219,0.9298619031906128,0.10523997247219086,0.7364262342453003,0.19105759263038635,FIN
169,2016,7.659843444824219,0.9539404511451721,70.7750015258789,0.9483721852302551,-0.032876525074243546,0.7688056826591492,0.18199844658374786,FIN
170,2017,7.788251876831055,0.9638264179229736,70.8499984741211,0.9621989727020264,-0.008309740573167801,0.7558576464653015,0.17606578767299652,FIN
171,2018,7.858107089996338,0.9621550440788269,70.92500305175781,0.9378073811531067,-0.13321293890476227,0.7488264441490173,0.1817806512117386,FIN
172,2019,7.78034782409668,0.9374155402183533,71.0,0.947616696357727,-0.057517919689416885,0.7322823405265808,0.1807328760623932,FIN
173,2020,7.889349937438965,0.9616207480430603,71.07499694824219,0.9624236822128296,-0.12266619503498077,0.7479390501976013,0.19289757311344147,FIN
174,2021,7.79437780380249,0.9702892899513245,71.1500015258789,0.9631898403167725,-0.039150938391685486,0.7516117095947266,0.17544862627983093,FIN
175,2022,7.728998184204102,0.9743951559066772,71.2249984741211,0.9586091041564941,0.10060976445674896,0.7413228750228882,0.1914731115102768,FIN
176,2023,7.698929309844971,0.946864664554596,71.30000305175781,0.9434178471565247,-0.0011296799639239907,0.7167778015136719,0.17283032834529877,FIN
183,2012,6.649365425109863,0.937097430229187,71.4000015258789,0.8413203358650208,-0.1547306925058365,0.7054621577262878,0.2529880106449127,FRA
184,2013,6.667121410369873,0.9076908230781555,71.5,0.8777957558631897,-0.130178764462471,0.7410864233970642,0.20496968924999237,FRA
185,2014,6.466867923736572,0.8775045275688171,71.5999984741211,0.8034741878509521,-0.12376633286476135,0.7586711049079895,0.21589383482933044,FRA
186,2015,6.3576250076293945,0.8957194089889526,71.69999694824219,0.8170362114906311,-0.1449432522058487,0.7404272556304932,0.21540027856826782,FRA
187,2016,6.475208759307861,0.8849229216575623,71.80000305175781,0.7867804765701294,-0.09696164727210999,0.7149360775947571,0.2700362503528595,FRA
188,2017,6.635222434997559,0.9314945936203003,71.9000015258789,0.8338901400566101,-0.12905699014663696,0.7158063054084778,0.24198393523693085,FRA
189,2018,6.665903568267822,0.9214630722999573,72.0,0.8163772225379944,-0.1434064358472824,0.7053083777427673,0.2824513614177704,FRA
190,2019,6.6896443367004395,0.9583480954170227,72.0999984741211,0.8272408246994019,-0.1387930065393448,0.692844808101654,0.25041553378105164,FRA
191,2020,6.714111804962158,0.9473540186882019,72.19999694824219,0.8233863115310669,-0.17551392316818237,0.6896242499351501,0.23095043003559113,FRA
192,2021,6.6562066078186035,0.9145975112915039,72.30000305175781,0.8369176983833313,-0.10408716648817062,0.6846013069152832,0.26841744780540466,FRA
193,2022,6.61380672454834,0.8655146360397339,72.4000015258789,0.798249363899231,-0.026758072897791862,0.688189685344696,0.24872346222400665,FRA
194,2023,6.556921482086182,0.8495709300041199,72.5,0.7755240797996521,0.00954272411763668,0.675797164440155,0.22800129652023315,FRA
201,2012,4.254445552825928,0.5325864553451538,63.900001525878906,0.6587240099906921,-0.2745648920536041,0.4434860646724701,0.2500878572463989,GEO
202,2013,4.348920822143555,0.5591657757759094,64.0,0.7221276164054871,-0.2596762478351593,0.4670817255973816,0.1999070793390274,GEO
203,2014,4.287508010864258,0.5584200024604797,64.0999984741211,0.7197811603546143,-0.23858177661895752,0.4581109583377838,0.2043275088071823,GEO
204,2015,4.121940612792969,0.5173715949058533,64.19999694824219,0.6399449706077576,-0.2104281187057495,0.4477141499519348,0.2331920862197876,GEO
205,2016,4.448386192321777,0.5334122776985168,64.32499694824219,0.6064683794975281,-0.25481438636779785,0.4748525619506836,0.223224475979805,GEO
206,2017,4.450774669647217,0.5904951691627502,64.44999694824219,0.820908784866333,-0.2495434433221817,0.49581947922706604,0.20963960886001587,GEO
207,2018,4.659097194671631,0.617218554019928,64.57499694824219,0.775144100189209,-0.23838350176811218,0.479062020778656,0.24377891421318054,GEO
208,2019,4.891835689544678,0.6749760508537292,64.69999694824219,0.8105341196060181,-0.265289843082428,0.5028348565101624,0.24371002614498138,GEO
209,2020,5.123143196105957,0.7183459401130676,64.82499694824219,0.7643523812294006,-0.22501297295093536,0.5725843906402588,0.2945120632648468,GEO
210,2021,4.91127347946167,0.6706894636154175,64.94999694824219,0.7770613431930542,-0.2897113561630249,0.5096328258514404,0.240043506026268,GEO
211,2022,5.292755126953125,0.7544909715652466,65.07499694824219,0.8209031820297241,-0.25490885972976685,0.5033212304115295,0.23332443833351135,GEO
212,2023,5.350635051727295,0.7790393829345703,65.19999694824219,0.876941442489624,-0.2682105004787445,0.5417845249176025,0.2310466766357422,GEO
219,2012,6.702362060546875,0.9264066219329834,70.04000091552734,0.9044404625892639,0.0648575872182846,0.6990493535995483,0.16957616806030273,DEU
220,2013,6.96512508392334,0.9314205646514893,70.05999755859375,0.8943129777908325,0.018139302730560303,0.6931337714195251,0.20499591529369354,DEU
221,2014,6.9842143058776855,0.9375589489936829,70.08000183105469,0.8986834287643433,0.08171439170837402,0.7389421463012695,0.1878448724746704,DEU
222,2015,7.037137508392334,0.925923228263855,70.0999984741211,0.8894288539886475,0.1716277301311493,0.7223848104476929,0.20270515978336334,DEU
